"Data Source","World Development Indicators","","","","","","","","","",""

"Country Name","Country Code","Indicator Name","Indicator Code","2010","2011","2012","2013","2014","2015","2016","2017"
"Heavily indebted poor countries (HIPC)","HPC","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","37.19403","37.92089","38.5124","37.22899","36.42476","41.41296","40.50474","40.71806"
"Croatia","HRV","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","21.33472","21.966","20.20242","19.58696","18.4331","19.20668","17.78932","17.90177"
"Haiti","HTI","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","17.79524","18.75792","17.48024","16.76701","16.26222","15.54028","15.08648","15.01982"
"Hungary","HUN","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","19.13552","19.36069","17.52996","17.23183","16.31533","17.23213","15.88535","15.92605"
"IBRD only","IBD","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","59.48715","60.12189","55.27194","56.61217","53.89641","53.88242","51.59309","52.02151"
"IDA & IBRD total","IBT","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","56.72734","57.23624","53.49892","53.975","51.72774","53.05178","50.80785","51.17447"
"IDA total","IDA","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","47.76724","47.98819","47.88725","45.73125","45.03315","50.52036","48.44574","48.65999"
"IDA blend","IDB","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","53.70716","53.47949","52.97398","49.92108","48.73765","59.35402","57.06968","57.16105"
"Indonesia","IDN","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","18.16928","18.04965","18.17017","16.87918","16.45463","16.64028","16.38415","16.50265"
"IDA only","IDX","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","44.78227","45.22263","45.32147","43.61453","43.1589","46.04589","44.07397","44.34853"
"Isle of Man","IMN","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","",""
"India","IND","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","95.75818","97.59938","88.16944","91.80479","89.62238","89.30333","89.67218","90.87321"
"Not classified","INX","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","","","","","","","",""
"Ireland","IRL","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","9.976375","10.28508","9.522692","9.360154","8.750522","8.672473","8.279163","8.208577"
"Iran, Islamic Rep.","IRN","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","38.6515","38.04969","38.54205","38.10109","38.10949","39.61053","38.8413","38.97876"
"Iraq","IRQ","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)","EN.ATM.PM25.MC.M3","68.7114","66.36261","66.84208","63.8027","56.56703","66.26504","63.9548","61.63624"
